Date,Price,Open,High,Low,Vol.,Change %
09/06/2022,"85,800.00","86,000.00","86,400.00","85,800.00",1.17M,-0.46%
09/05/2022,"86,200.00","86,500.00","86,700.00","85,900.00",1.02M,-0.46%
08/31/2022,"86,600.00","85,800.00","87,000.00","85,800.00",1.17M,0.23%
08/30/2022,"86,400.00","86,500.00","87,000.00","86,000.00",1.15M,-0.12%
08/29/2022,"86,500.00","87,000.00","87,000.00","84,700.00",2.23M,-0.80%
08/26/2022,"87,200.00","86,400.00","87,800.00","86,300.00",1.94M,1.04%
08/25/2022,"86,300.00","86,200.00","86,700.00","86,000.00",1.14M,0.12%
08/24/2022,"86,200.00","86,500.00","86,800.00","86,100.00",1.01M,0.23%
08/23/2022,"86,000.00","85,110.00","86,000.00","85,110.00",1.09M,0.23%
08/22/2022,"85,802.00","85,605.00","86,297.00","84,913.00",1.63M,-0.12%
08/19/2022,"85,901.00","86,989.00","87,483.00","85,209.00",1.96M,-1.59%
08/18/2022,"87,285.00","86,890.00","88,669.00","86,890.00",2.55M,0.00%
08/17/2022,"87,285.00","87,977.00","88,076.00","86,989.00",1.51M,-0.45%
08/16/2022,"87,680.00","87,878.00","88,372.00","87,087.00",1.38M,-0.23%
08/15/2022,"87,878.00","85,605.00","88,076.00","85,605.00",3.09M,2.77%
08/12/2022,"85,506.00","84,715.00","85,506.00","84,715.00",1.24M,0.58%
08/11/2022,"85,012.00","85,209.00","85,802.00","84,715.00",1.85M,0.00%
08/10/2022,"85,012.00","85,308.00","85,703.00","85,012.00",1.12M,-0.23%
08/09/2022,"85,209.00","85,012.00","86,494.00","84,715.00",2.32M,0.23%
08/08/2022,"85,012.00","84,913.00","85,407.00","84,320.00",1.59M,0.23%
08/05/2022,"84,814.00","85,110.00","86,198.00","84,616.00",1.77M,-0.35%
08/04/2022,"85,110.00","84,122.00","85,605.00","83,924.00",3.05M,1.53%
08/03/2022,"83,825.00","84,023.00","84,221.00","83,232.00",2.25M,-0.24%
08/02/2022,"84,023.00","83,035.00","84,122.00","82,540.00",1.88M,1.19%
08/01/2022,"83,035.00","83,035.00","83,232.00","82,145.00",1.82M,0.60%
07/29/2022,"82,540.00","84,122.00","84,221.00","82,540.00",1.94M,-1.65%
07/28/2022,"83,924.00","84,221.00","84,814.00","82,145.00",1.66M,-0.35%
07/27/2022,"84,221.00","83,628.00","84,221.00","83,430.00",771.10K,0.47%
07/26/2022,"83,825.00","85,012.00","85,012.00","83,825.00",1.13M,-0.70%
07/25/2022,"84,418.00","86,000.00","86,000.00","84,122.00",2.25M,0.35%
07/22/2022,"84,122.00","85,407.00","85,506.00","84,122.00",1.31M,0.12%
07/21/2022,"84,023.00","84,913.00","84,913.00","83,529.00",1.80M,0.12%
07/20/2022,"83,924.00","84,023.00","84,913.00","83,035.00",2.85M,2.29%
07/19/2022,"82,046.00","81,947.00","82,046.00","81,255.00",1.19M,0.00%
07/18/2022,"82,046.00","81,848.00","83,529.00","81,354.00",1.26M,0.97%
07/15/2022,"81,255.00","83,035.00","83,035.00","81,255.00",1.38M,-0.72%
07/14/2022,"81,848.00","81,848.00","82,540.00","81,255.00",891.30K,0.36%
07/13/2022,"81,552.00","83,035.00","83,035.00","81,552.00",1.14M,-1.20%
07/12/2022,"82,540.00","81,848.00","82,540.00","81,749.00",602.80K,0.85%
07/11/2022,"81,848.00","83,628.00","83,628.00","81,848.00",998.10K,-0.96%
07/08/2022,"82,639.00","82,936.00","83,035.00","82,145.00",910.40K,0.60%
07/07/2022,"82,145.00","82,936.00","83,628.00","82,145.00",1.29M,-0.48%
07/06/2022,"82,540.00","83,133.00","84,913.00","82,540.00",2.23M,-2.22%
07/05/2022,"84,418.00","86,791.00","86,791.00","84,418.00",1.40M,-1.50%
07/04/2022,"85,703.00","87,483.00","87,483.00","85,012.00",1.01M,-1.48%
07/01/2022,"86,989.00","86,000.00","87,779.00","83,825.00",1.70M,2.09%
06/30/2022,"85,209.00","88,471.00","88,867.00","85,209.00",1.51M,-4.22%
06/29/2022,"88,966.00","87,878.00","88,966.00","87,186.00",1.18M,0.33%
06/28/2022,"88,669.00","88,471.00","89,163.00","86,198.00",2.30M,3.70%
06/27/2022,"85,506.00","85,407.00","86,890.00","84,913.00",1.25M,1.17%
06/24/2022,"84,517.00","85,110.00","86,791.00","84,517.00",902.40K,0.00%
06/23/2022,"84,517.00","83,035.00","85,802.00","82,738.00",2.02M,1.18%
06/22/2022,"83,529.00","88,768.00","89,361.00","83,430.00",2.97M,-5.16%
06/21/2022,"88,076.00","91,338.00","92,425.00","87,977.00",2.46M,-3.15%
06/20/2022,"90,943.00","92,425.00","93,414.00","90,251.00",2.48M,0.00%
